TITLE,Fecha,Cantidad,Time
Libro 1,2018-01-01,17.0,0
Libro 1,2018-02-01,9.0,1
Libro 1,2018-03-01,7.0,2
Libro 1,2018-04-01,15.0,3
Libro 1,2018-05-01,20.0,4
Libro 1,2018-06-01,85.0,5
Libro 1,2018-07-01,75.0,6
Libro 1,2018-08-01,32.0,7
Libro 1,2018-09-01,72.0,8
Libro 1,2018-10-01,91.0,9
Libro 1,2018-11-01,133.0,10
Libro 1,2018-12-01,0.0,11
Libro 1,2019-01-01,143.0,12
Libro 1,2019-02-01,80.0,13
Libro 1,2019-03-01,93.0,14
Libro 1,2019-04-01,140.0,15
Libro 1,2019-05-01,82.0,16
Libro 1,2019-06-01,117.0,17
Libro 1,2019-07-01,103.0,18
Libro 1,2019-08-01,83.0,19
Libro 1,2019-09-01,99.0,20
Libro 1,2019-10-01,146.0,21
Libro 1,2019-11-01,123.0,22
Libro 1,2019-12-01,256.0,23
Libro 1,2020-01-01,172.0,24
Libro 1,2020-02-01,114.0,25
Libro 1,2020-03-01,29.0,26
Libro 1,2020-04-01,18.0,27
Libro 1,2020-05-01,19.0,28
Libro 1,2020-06-01,73.0,29
Libro 1,2020-07-01,194.0,30
Libro 1,2020-08-01,107.0,31
Libro 1,2020-09-01,121.0,32
Libro 1,2020-10-01,101.0,33
Libro 1,2020-11-01,106.0,34
Libro 1,2020-12-01,241.0,35
Libro 1,2021-01-01,120.0,36
Libro 10,2018-01-01,226.0,0
Libro 10,2018-02-01,253.0,1
Libro 10,2018-03-01,218.0,2
Libro 10,2018-04-01,195.0,3
Libro 10,2018-05-01,170.0,4
Libro 10,2018-06-01,127.0,5
Libro 10,2018-07-01,202.0,6
Libro 10,2018-08-01,104.0,7
Libro 10,2018-09-01,119.0,8
Libro 10,2018-10-01,186.0,9
Libro 10,2018-11-01,225.0,10
Libro 10,2018-12-01,0.0,11
Libro 10,2019-01-01,218.0,12
Libro 10,2019-02-01,206.0,13
Libro 10,2019-03-01,182.0,14
Libro 10,2019-04-01,97.0,15
Libro 10,2019-05-01,161.0,16
Libro 10,2019-06-01,191.0,17
Libro 10,2019-07-01,290.0,18
Libro 10,2019-08-01,300.0,19
Libro 10,2019-09-01,227.0,20
Libro 10,2019-10-01,213.0,21
Libro 10,2019-11-01,167.0,22
Libro 10,2019-12-01,308.0,23
Libro 10,2020-01-01,155.0,24
Libro 10,2020-02-01,141.0,25
Libro 10,2020-03-01,120.0,26
Libro 10,2020-04-01,69.0,27
Libro 10,2020-05-01,109.0,28
Libro 10,2020-06-01,175.0,29
Libro 10,2020-07-01,277.0,30
Libro 10,2020-08-01,246.0,31
Libro 10,2020-09-01,209.0,32
Libro 10,2020-10-01,307.0,33
Libro 10,2020-11-01,261.0,34
Libro 10,2020-12-01,586.0,35
Libro 10,2021-01-01,216.0,36
Libro 100,2018-01-01,0.0,0
Libro 100,2018-02-01,0.0,1
Libro 100,2018-03-01,1899.0,2
Libro 100,2018-04-01,1197.0,3
Libro 100,2018-05-01,894.0,4
Libro 100,2018-06-01,731.0,5
Libro 100,2018-07-01,905.0,6
Libro 100,2018-08-01,263.0,7
Libro 100,2018-09-01,318.0,8
Libro 100,2018-10-01,386.0,9
Libro 100,2018-11-01,375.0,10
Libro 100,2018-12-01,0.0,11
Libro 100,2019-01-01,514.0,12
Libro 100,2019-02-01,452.0,13
Libro 100,2019-03-01,522.0,14
Libro 100,2019-04-01,350.0,15
Libro 100,2019-05-01,330.0,16
Libro 100,2019-06-01,401.0,17
Libro 100,2019-07-01,389.0,18
Libro 100,2019-08-01,248.0,19
Libro 100,2019-09-01,267.0,20
Libro 100,2019-10-01,361.0,21
Libro 100,2019-11-01,352.0,22
Libro 100,2019-12-01,676.0,23
Libro 100,2020-01-01,422.0,24
Libro 100,2020-02-01,384.0,25
Libro 100,2020-03-01,362.0,26
Libro 100,2020-04-01,238.0,27
Libro 100,2020-05-01,301.0,28
Libro 100,2020-06-01,458.0,29
Libro 100,2020-07-01,537.0,30
Libro 100,2020-08-01,466.0,31
Libro 100,2020-09-01,401.0,32
Libro 100,2020-10-01,408.0,33
Libro 100,2020-11-01,392.0,34
Libro 100,2020-12-01,802.0,35
Libro 100,2021-01-01,314.0,36
Libro 101,2018-01-01,0.0,0
Libro 101,2018-02-01,0.0,1
Libro 101,2018-03-01,0.0,2
Libro 101,2018-04-01,0.0,3
Libro 101,2018-05-01,0.0,4
Libro 101,2018-06-01,0.0,5
Libro 101,2018-07-01,0.0,6
Libro 101,2018-08-01,0.0,7
Libro 101,2018-09-01,0.0,8
Libro 101,2018-10-01,0.0,9
Libro 101,2018-11-01,0.0,10
Libro 101,2018-12-01,0.0,11
Libro 101,2019-01-01,0.0,12
Libro 101,2019-02-01,0.0,13
Libro 101,2019-03-01,0.0,14
Libro 101,2019-04-01,0.0,15
Libro 101,2019-05-01,0.0,16
Libro 101,2019-06-01,0.0,17
Libro 101,2019-07-01,0.0,18
Libro 101,2019-08-01,0.0,19
Libro 101,2019-09-01,0.0,20
Libro 101,2019-10-01,0.0,21
Libro 101,2019-11-01,0.0,22
Libro 101,2019-12-01,0.0,23
Libro 101,2020-01-01,0.0,24
Libro 101,2020-02-01,5.0,25
Libro 101,2020-03-01,329.0,26
Libro 101,2020-04-01,465.0,27
Libro 101,2020-05-01,506.0,28
Libro 101,2020-06-01,265.0,29
Libro 101,2020-07-01,451.0,30
Libro 101,2020-08-01,269.0,31
Libro 101,2020-09-01,229.0,32
Libro 101,2020-10-01,230.0,33
Libro 101,2020-11-01,203.0,34
Libro 101,2020-12-01,486.0,35
Libro 101,2021-01-01,191.0,36
Libro 102,2018-01-01,0.0,0
Libro 102,2018-02-01,0.0,1
Libro 102,2018-03-01,0.0,2
Libro 102,2018-04-01,0.0,3
Libro 102,2018-05-01,0.0,4
Libro 102,2018-06-01,0.0,5
Libro 102,2018-07-01,0.0,6
